name,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h
"Panzerkrieg",0,0,0,1
"Domain",1,0,0,0
"Thunder at Cassino",0,0,0,1
"Black Vienna",0,1,0,0
"Turning Point: Stalingrad",0,0,0,1
"Battle Line",1,0,0,0
"The Great Brain Robbery",0,1,0,0
"Mad Gab",0,1,0,0
"Space Walk",0,1,0,0
"Regatta",0,1,0,0
"Star Trek Red Alert",0,0,1,0
"Loot",1,0,0,0
"Kings and Castles",0,0,1,0
"Ausbrecher AG",1,0,0,0
"Win, Place & Show",0,0,1,0
"Dog Eat Dog",0,0,1,0
"Maxi Bour$e",0,0,1,0
"Tales of the Arabian Nights",0,0,1,0
"Focus",0,1,0,0
"Yahtzee Deluxe Poker",1,0,0,0
"Foil",0,1,0,0
"Dragonlance",0,1,0,0
"Shanghai Trader",0,0,0,1
"Ace of Aces: Handy Rotary Series",1,0,0,0
"The Hills Rise Wild!",0,0,0,1
"Dragonhunt",0,0,1,0
"Thunder Road",0,1,0,0
"Buffy the Vampire Slayer: The Game",0,0,1,0
"Rummikub",0,1,0,0
"Goosebumps: Terror in the Graveyard Game",0,1,0,0
"Aquarius",1,0,0,0
"Chrononauts",1,0,0,0
"2038: Tycoons of the Asteroid Belt",0,0,0,1
"Axiom",1,0,0,0
"Lord of the Rings",0,1,0,0
"Screaming Eagles",1,0,0,0
"Cartagena",0,1,0,0
"Attila",0,1,0,0
"Wizards",0,0,0,1
"Battle of the Bands",0,1,0,0
"Schrille Stille",0,1,0,0
"For the People",0,0,0,1
"Chronology",1,0,0,0
"New England Railways",0,0,1,0
"Corsairs",0,1,0,0
"Razzia",1,0,0,0
"Circus Minimus",0,1,0,0
"Feudal",0,0,1,0
"...und tschüss!",1,0,0,0
"Doge",0,1,0,0
"Java",0,0,1,0
"Titanic: Der Mythos",1,0,0,0
"Illuminati",0,0,1,0
"Weapons and Warriors:  Castle Combat Set",1,0,0,0
"Mage Knight",0,1,0,0
"Landslide",0,0,1,0
"Lie, Cheat & Steal",0,0,1,0
"Morisi",0,1,0,0
"Bongo!",1,0,0,0
"Empires of the Ancient World",0,0,0,1
"M",1,0,0,0
"Roads & Boats",0,0,0,1
"Troia",0,1,0,0
"Wyatt Earp",0,1,0,0
"Ivanhoe",0,1,0,0
"Way Out West",0,0,1,0
"Cranium",0,1,0,0
"APBA Pro Baseball",1,0,0,0
"City",1,0,0,0
"Meuterer",0,1,0,0
"Hamsterrolle",1,0,0,0
"Dream Factory",0,1,0,0
"Abilene",0,1,0,0
"Tally Ho!",1,0,0,0
"Saturn",1,0,0,0
"Kunst Stücke",0,1,0,0
"Empires of the Middle Ages",0,0,0,1
"Pacific Victory",0,0,0,1
"Rack-O",0,1,0,0
"Ultimate Outburst",0,1,0,0
"Breakaway Rider",1,0,0,0
"Werewolf",0,1,0,0
"Lift Off",1,0,0,0
"The Great Dalmuti",0,1,0,0
"Top Race",0,1,0,0
"New Orleans Big Band",0,0,1,0
"Australian Rails",0,0,0,1
"The Fury of Dracula",0,0,0,1
"1825 Unit 1",0,0,0,1
"Enchanted Forest",0,1,0,0
"Star Wars: The Queen's Gambit",0,0,1,0
"Karawane",0,1,0,0
"Turbo Taxi",1,0,0,0
"Ligretto",1,0,0,0
"Mag·Blast",0,1,0,0
"Dao",1,0,0,0
"Twixt",1,0,0,0
"Four Dragons",1,0,0,0
"Football Strategy",0,0,0,1
"Pony Express",0,1,0,0
"Azteca",0,0,0,1
"Orcz",0,1,0,0
"Kapitän Wackelpudding",1,0,0,0
"Ben Hurt",0,1,0,0
"The Powerpuff Girls: Saving the World Before Bedtime",1,0,0,0
"Amoeba Wars",0,0,0,1
"Tangoes",1,0,0,0
"Babel",0,1,0,0
"Kingmaker",0,0,0,1
"Zapp Zerapp",1,0,0,0
"An den Ufern des Nils",0,1,0,0
"Panda Monium",1,0,0,0
"Vendetta",1,0,0,0
"Cosmic Eidex",0,1,0,0
"Die Hanse",0,0,1,0
"Die Magier",0,1,0,0
"Fief 2",0,0,1,0
"Fresh Fish",0,1,0,0
"Kraut & Rüben",1,0,0,0
"TV Wars",0,0,1,0
"B-17: Queen of the Skies",1,0,0,0
"Squad Leader",0,1,0,0
"Speculation",0,1,0,0
"Deadlands: Doomtown",0,1,0,0
"Tantrix",1,0,0,0
"San Marco",0,0,1,0
"Dragon's Gold",0,1,0,0
"Gunslinger",0,0,1,0
"Zargos",0,0,1,0
"Waldschattenspiel",1,0,0,0
"Wat'n dat!?",0,1,0,0
"Der Schatz der Inka",0,1,0,0
"Die Schlacht der Dinosaurier",0,1,0,0
"Assassin",0,0,1,0
"Judge Dredd",0,0,1,0
"Down Fall",1,0,0,0
"Flying Carpet",1,0,0,0
"Kathai",0,1,0,0
"Taboo",1,0,0,0
"Poker",0,1,0,0
"Oh Hell!",1,0,0,0
"You're Bluffing!",0,1,0,0
"Big Shot",1,0,0,0
"Car Wars: The Card Game",0,1,0,0
"Top Secret",0,1,0,0
"Ballonrennen",0,1,0,0
"Warrior Knights",0,0,0,1
"The Warlock of Firetop Mountain",0,0,1,0
"City of Chaos",0,0,0,1
"Shadowlord!",0,0,0,1
"Outrage! Steal the Crown Jewels",0,1,0,0
"Dragon Strike",0,1,0,0
"Lionheart",0,1,0,0
"The Mystic Wood",0,1,0,0
"Capitol",0,1,0,0
"Save Doctor Lucky",1,0,0,0
"Evo",0,1,0,0
"Boom Town",1,0,0,0
"Perquackey",1,0,0,0
"Burp",0,1,0,0
"Ciao, Ciao...",1,0,0,0
"Trick 'r Treat",1,0,0,0
"Minister",0,1,0,0
"Die Ritter von der Haselnuss",1,0,0,0
"Sphinx",0,1,0,0
"The Fellowship of the Ring",0,0,0,1
"Chaos Marauders",0,1,0,0
"Continuo",1,0,0,0
"Speed Circuit",0,0,1,0
"Blink",1,0,0,0
"SET",1,0,0,0
"The Sorcerer's Cave",0,1,0,0
"Witch Trial",0,1,0,0
"Luxor",1,0,0,0
"Venture",0,1,0,0
"Big Deal",0,0,1,0
"Pax Britannica",0,0,0,1
"Cults Across America",0,0,0,1
"Up the River",1,0,0,0
"Nuclear Proliferation",1,0,0,0
"Nuclear Escalation",1,0,0,0
"Mystery Garden",1,0,0,0
"Secret Labyrinth",1,0,0,0
"Junior Labyrinth",1,0,0,0
"Labyrinth",1,0,0,0
"Quest",0,1,0,0
"Bausack",0,1,0,0
"Facts in Five",1,0,0,0
"Once Upon a Time: The Storytelling Card Game",1,0,0,0
"Yellowstone",0,1,0,0
"Autoscooter",0,1,0,0
"Right Turn, Left Turn",1,0,0,0
"Split Second",1,0,0,0
"Meander",1,0,0,0
"Isis & Osiris",1,0,0,0
"Gangland!",0,1,0,0
"Safari Jack",1,0,0,0
"Hacker",0,0,1,0
"New World",0,0,0,1
"Pyramidis",1,0,0,0
"Limits",0,1,0,0
"Crack the Case",0,1,0,0
"Star Wars Episode I: Customizable Card Game",0,1,0,0
"Starbase Jeff",0,1,0,0
"Phase 10",0,1,0,0
"Rook",0,1,0,0
"Medina",0,1,0,0
"Axis & Allies: Pacific",0,0,0,1
"Knatsch",1,0,0,0
"Mystery Rummy: Jekyll & Hyde",0,1,0,0
"Polar Dare!",1,0,0,0
"Skip-Bo",1,0,0,0
"Star Wars Customizable Card Game",0,1,0,0
"221B Baker Street: The Master Detective Game",0,0,1,0
"Jitters",1,0,0,0
"Smess: The Ninny's Chess",1,0,0,0
"Input",1,0,0,0
"Boggle",1,0,0,0
"Pente",1,0,0,0
"Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition",0,0,1,0
"Monopoly: Star Wars",0,0,1,0
"Trivial Pursuit: Genus IV",0,0,1,0
