name,pelaajia1,pelaajia2,pelaajia3tai4,pelaajiaYli4
"Maxi Bour$e",0,0,1,1
"Tales of the Arabian Nights",1,1,1,0
"Focus",0,1,1,0
"Yahtzee Deluxe Poker",0,0,1,1
"Foil",0,1,1,0
"Dragonlance",0,0,1,1
"Shanghai Trader",0,0,1,1
"Ace of Aces: Handy Rotary Series",0,1,0,0
"The Hills Rise Wild!",0,0,1,0
"Dragonhunt",0,0,1,1
"Thunder Road",0,1,1,0
"Buffy the Vampire Slayer: The Game",0,1,1,1
"Rummikub",0,1,1,0
"Goosebumps: Terror in the Graveyard Game",0,0,1,0
"Aquarius",0,1,1,1
"Chrononauts",1,1,1,1
"2038: Tycoons of the Asteroid Belt",0,0,1,1
"Axiom",0,1,0,0
"Lord of the Rings",1,1,1,1
"Screaming Eagles",0,1,1,0
"Cartagena",0,1,1,1
"Attila",0,0,1,1
"Wizards",0,1,1,0
"Battle of the Bands",0,1,1,0
"Schrille Stille",0,0,1,1
"For the People",0,1,0,0
"Chronology",0,0,1,1
"New England Railways",0,0,1,1
"Corsairs",0,1,1,0
"Razzia",0,0,1,1
"Circus Minimus",0,1,1,1
"Feudal",0,1,1,1
"...und tschüss!",0,0,1,1
"Doge",0,0,1,0
"Java",0,1,1,0
"Titanic: Der Mythos",0,1,1,0
"Illuminati",0,0,1,1
"Weapons and Warriors:  Castle Combat Set",0,1,0,0
"Mage Knight",0,1,1,0
"Landslide",0,1,1,0
"Lie, Cheat & Steal",0,0,1,1
"Morisi",0,1,1,0
"Bongo!",1,1,1,1
"Empires of the Ancient World",0,0,1,1
"M",0,1,1,1
"Roads & Boats",1,1,1,0
"Troia",0,1,1,0
"Wyatt Earp",0,1,1,0
"Ivanhoe",0,0,1,1
"Way Out West",0,0,1,1
"Cranium",0,0,1,1
"APBA Pro Baseball",1,1,0,0
"City",0,0,0,0
"Meuterer",0,0,1,0
"Hamsterrolle",0,1,1,0
"Dream Factory",0,0,1,1
"Abilene",0,0,1,1
"Tally Ho!",0,1,0,0
"Saturn",0,0,0,0
"Kunst Stücke",0,1,1,1
"Empires of the Middle Ages",0,0,1,1
"Pacific Victory",0,1,0,0
"Rack-O",0,1,1,0
"Ultimate Outburst",0,0,0,0
"Breakaway Rider",0,0,1,1
"Werewolf",0,0,0,1
"Lift Off",0,1,1,0
"The Great Dalmuti",0,0,0,1
"Top Race",0,0,1,1
"New Orleans Big Band",0,0,1,1
"Australian Rails",0,1,1,0
"The Fury of Dracula",0,1,1,0
"1825 Unit 1",0,1,1,1
"Enchanted Forest",0,1,1,1
"Star Wars: The Queen's Gambit",0,1,0,0
"Karawane",0,0,1,1
"Turbo Taxi",0,1,1,0
"Ligretto",0,0,1,0
"Mag·Blast",0,1,1,1
"Dao",0,1,0,0
"Twixt",0,1,0,0
"Four Dragons",0,0,1,0
"Football Strategy",0,1,0,0
"Pony Express",0,0,1,1
"Azteca",0,0,1,0
"Orcz",0,1,1,0
"Kapitän Wackelpudding",0,1,1,0
"Ben Hurt",0,0,1,1
"The Powerpuff Girls: Saving the World Before Bedtime",0,1,1,0
"Amoeba Wars",0,0,1,1
"Tangoes",1,1,0,0
"Babel",0,1,0,0
"Kingmaker",0,0,1,1
"Zapp Zerapp",0,1,1,0
"An den Ufern des Nils",0,1,1,1
"Panda Monium",0,0,1,1
"Vendetta",0,1,1,0
"Cosmic Eidex",0,0,1,0
"Die Hanse",0,0,1,1
"Die Magier",0,0,1,0
"Fief 2",0,0,1,1
"Fresh Fish",0,0,1,1
"Kraut & Rüben",0,1,1,0
"TV Wars",0,0,1,0
"B-17: Queen of the Skies",1,0,0,0
"Squad Leader",1,1,0,0
"Speculation",0,0,1,1
"Deadlands: Doomtown",0,1,1,1
"Tantrix",1,1,1,0
"San Marco",0,0,1,0
"Dragon's Gold",0,0,1,1
"Gunslinger",0,1,1,1
"Zargos",0,0,1,1
"Waldschattenspiel",0,0,1,1
"Wat'n dat!?",0,0,1,1
"Der Schatz der Inka",0,1,1,1
"Die Schlacht der Dinosaurier",0,1,1,0
"Assassin",0,0,0,0
"Judge Dredd",0,0,1,1
"Down Fall",0,1,0,0
"Flying Carpet",0,0,0,0
"Kathai",0,0,1,0
"Taboo",0,0,1,1
"Poker",0,0,1,1
"Oh Hell!",0,0,1,1
"You're Bluffing!",0,0,1,1
"Big Shot",0,1,1,0
"Car Wars: The Card Game",0,1,1,1
"Top Secret",0,0,0,0
"Ballonrennen",0,1,1,1
"Warrior Knights",0,0,1,1
"The Warlock of Firetop Mountain",0,0,1,1
"City of Chaos",1,1,1,0
"Shadowlord!",0,1,1,0
"Outrage! Steal the Crown Jewels",0,0,1,0
"Dragon Strike",0,1,1,1
"Lionheart",0,1,0,0
"The Mystic Wood",0,1,1,0
"Capitol",0,0,1,0
"Save Doctor Lucky",0,0,1,1
"Evo",0,0,1,1
"Boom Town",0,0,1,1
"Perquackey",0,1,1,0
"Burp",0,1,1,0
"Ciao, Ciao...",0,1,1,0
"Trick 'r Treat",0,0,0,0
"Minister",0,1,1,0
"Die Ritter von der Haselnuss",0,1,1,0
"Sphinx",0,0,1,0
"The Fellowship of the Ring",0,1,0,0
"Chaos Marauders",0,0,1,0
"Continuo",1,1,1,0
"Speed Circuit",0,0,1,1
"Blink",0,1,1,0
"SET",1,1,1,1
"The Sorcerer's Cave",1,1,1,0
"Witch Trial",0,0,1,1
"Luxor",0,1,1,0
"Venture",0,1,1,1
"Big Deal",0,0,0,1
"Pax Britannica",0,0,1,1
"Cults Across America",0,0,1,1
"Up the River",0,1,1,0
"Nuclear Proliferation",0,0,1,1
"Nuclear Escalation",0,0,1,1
"Mystery Garden",0,1,1,1
"Secret Labyrinth",1,0,1,0
"Junior Labyrinth",0,1,1,0
"Labyrinth",0,1,1,0
"Quest",0,0,1,1
"Bausack",0,1,1,1
"Facts in Five",0,0,1,1
"Once Upon a Time: The Storytelling Card Game",0,0,1,1
"Yellowstone",0,1,1,0
"Autoscooter",0,0,0,1
"Right Turn, Left Turn",0,1,1,1
"Split Second",0,0,1,1
"Meander",0,1,0,0
"Isis & Osiris",0,1,1,0
"Gangland!",0,0,0,0
"Safari Jack",0,1,1,0
"Hacker",0,0,1,1
"New World",0,1,1,1
"Pyramidis",0,1,1,0
"Limits",0,0,1,1
"Crack the Case",0,1,1,1
"Star Wars Episode I: Customizable Card Game",0,1,1,0
"Starbase Jeff",0,1,1,0
"Phase 10",0,1,1,1
"Rook",0,1,1,1
"Medina",0,0,1,0
"Axis & Allies: Pacific",0,1,1,0
"Knatsch",0,1,1,0
"Mystery Rummy: Jekyll & Hyde",0,1,0,0
"Polar Dare!",0,0,0,0
"Skip-Bo",0,1,1,1
"Star Wars Customizable Card Game",0,1,0,0
"221B Baker Street: The Master Detective Game",0,1,1,1
"Jitters",1,1,1,0
"Smess: The Ninny's Chess",0,1,0,0
"Input",0,1,0,0
"Boggle",0,1,1,1
"Pente",0,1,0,0
"Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition",0,1,1,0
"Monopoly: Star Wars",0,1,1,1
"Trivial Pursuit: Genus IV",0,1,1,1
"Im Zeichen des Kreuzes",0,1,1,1
"Netrunner",0,1,0,0
"Cosmic Wimpout",0,1,1,1
"Credo",0,0,1,1
"Ulysses",0,0,1,0
"Krakatoa",1,1,0,0
"Confusion",0,1,1,1
"Die Magier von Pangea",0,0,1,0
"Nur Peanuts!",0,0,1,1
"1826",0,1,1,1
"Warhamster Rally",0,0,1,1
"Africa",0,1,1,1
"Magic Hill",0,1,1,1
"Catch the Match",0,0,0,0
"Chip-Chip Hurra",0,0,1,0
"Cry Havoc",0,1,0,0
"Café International: Das Kartenspiel",0,1,1,0
"MacGregor",0,0,1,0
"Hyle",0,1,0,0
"Savannah Café",0,0,1,0
"Showdown Yahtzee",0,0,1,0
"Boom-O",0,0,1,1
"Entdecker: Exploring New Horizons",0,1,1,0
"Gnadenlos!",0,0,1,0
"Eden",0,0,1,0
"Traboulet",0,1,0,0
"Volldampf",0,1,1,1
"Dungeon!",0,1,1,1
"Genoa",0,0,1,1
"Crazy Race",0,0,1,0
"Web of Gold",0,0,1,1
"Das Amulett",0,0,1,1
"Bali",0,0,1,0
"Time's Up!",0,0,1,1
"Zaubercocktail",0,0,1,1
"Hexen Rennen",0,1,1,0
"Field Command",0,1,0,0
"Wit's End",0,1,1,1
"The Classic Dungeon",0,1,1,1
"Mustangs",0,1,1,0
"Rise of the Luftwaffe",0,1,1,1
"Midway",0,1,0,0
"Guadalcanal",0,0,0,0
"Don",0,0,1,1
"Odysseus",0,0,1,1
"Ebbe & Flut",1,1,0,0
"Jockey",0,1,1,1
"Pokémon Master Trainer",0,1,1,1
"Winner's Circle",0,0,1,1
"Alaska",0,1,1,0
"Auf Kurs",0,1,1,1
"Chicago",0,0,1,0
"Neolithibum",0,1,1,1
"Turn the Tide",0,0,1,1
"Strand-Cup",0,1,1,1
"Monopoly",0,0,1,1
"Alcatraz",0,1,1,0
"Gammarauders",0,1,1,1
"Trendy",0,0,1,1
"Attack Sub",0,1,0,0
"Decathlon",1,1,1,1
"Meridian",0,0,1,0
"Alibi",0,0,1,1
"Pylos",0,1,0,0
"Monopoly Express",0,1,1,0
"Lost Worlds",0,1,0,0
"Wadjet",0,0,1,0
"Storm over Arnhem",1,1,0,0
"Raid on St. Nazaire",1,0,0,0
"Lord of the Rings: The Search",0,1,0,0
"Image",0,0,1,1
"Caesar at Alesia",0,1,1,0
"War at Sea (second edition)",1,1,0,0
"Dealer's Choice",0,0,1,1
"4000 A.D.",0,0,1,0
"Billionaire",0,0,1,0
"Trust Me",0,1,1,0
"Penguin Pile-Up",0,1,1,1
"Victory in the Pacific",1,1,0,0
"SPQR",1,1,0,0
"Canasta Caliente",0,1,1,0
"Cheater",0,1,1,0
"1841",0,0,1,1
"Freight Train",0,1,1,1
"Kings Cribbage",0,1,1,0
"Jagd der Vampire",0,1,1,1
"Mhing",0,1,1,1
"Sharp Shooters",0,1,1,1
"Earthquake",0,0,1,0
"Girl Genius: The Works",0,1,1,0
"Wizard",0,0,1,1
"Abduction",0,1,1,0
"Venezia",0,0,1,0
"Gangsters",0,0,1,0
"Five Crowns",0,0,1,1
"Days of Decision II",0,1,1,1
"Ubi",0,1,1,0
"Clue: The Great Museum Caper",0,1,1,0
"Deadwood Studios USA",0,0,1,1
"Outpost",0,0,1,1
"1853",0,0,1,1
"Imperium Romanum II",0,1,1,1
"Dino Hunt",0,1,1,0
"Paydirt",1,1,0,0
"Masterpiece",0,0,1,1
"Hotel Tycoon",0,0,1,0
"Mid-East Peace",0,0,0,1
